file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source
E:\Research paper\output\chatgpt_policy_drafts\AIr status quo iteration 2 GPT.txt,AIr status quo iteration 2 GPT.txt,ChatGPT,Air Pollution,Status Quo,2.0,Primary,False,1122,7.68,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air Innovation iteration 1 GPT.txt,Air Innovation iteration 1 GPT.txt,ChatGPT,Air Pollution,Innovation,1.0,Primary,False,1020,7.18,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 10 GPT.txt,Air innovation iteration 10 GPT.txt,ChatGPT,Air Pollution,Innovation,10.0,Primary,False,882,6.2,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 2 GPT.txt,Air innovation iteration 2 GPT.txt,ChatGPT,Air Pollution,Innovation,2.0,Primary,False,1003,7.29,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 3 GPT.txt,Air innovation iteration 3 GPT.txt,ChatGPT,Air Pollution,Innovation,3.0,Primary,False,1031,7.5,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 4 GPT.txt,Air innovation iteration 4 GPT.txt,ChatGPT,Air Pollution,Innovation,4.0,Primary,False,934,6.46,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 5 GPT.txt,Air innovation iteration 5 GPT.txt,ChatGPT,Air Pollution,Innovation,5.0,Primary,False,1137,8.03,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 6 GPT.txt,Air innovation iteration 6 GPT.txt,ChatGPT,Air Pollution,Innovation,6.0,Primary,False,975,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 7 GPT.txt,Air innovation iteration 7 GPT.txt,ChatGPT,Air Pollution,Innovation,7.0,Primary,False,985,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 8 GPT.txt,Air innovation iteration 8 GPT.txt,ChatGPT,Air Pollution,Innovation,8.0,Primary,False,1106,8.27,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air innovation iteration 9 GPT.txt,Air innovation iteration 9 GPT.txt,ChatGPT,Air Pollution,Innovation,9.0,Primary,False,992,6.98,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 1 GPT.txt,Air status quo iteration 1 GPT.txt,ChatGPT,Air Pollution,Status Quo,1.0,Primary,False,1032,6.92,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 10 GPT.txt,Air status quo iteration 10 GPT.txt,ChatGPT,Air Pollution,Status Quo,10.0,Primary,False,1005,6.65,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 3 GPT.txt,Air status quo iteration 3 GPT.txt,ChatGPT,Air Pollution,Status Quo,3.0,Primary,False,1117,7.49,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 4 GPT.txt,Air status quo iteration 4 GPT.txt,ChatGPT,Air Pollution,Status Quo,4.0,Primary,False,1054,7.37,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 5 GPT.txt,Air status quo iteration 5 GPT.txt,ChatGPT,Air Pollution,Status Quo,5.0,Primary,False,988,6.46,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 6 GPT.txt,Air status quo iteration 6 GPT.txt,ChatGPT,Air Pollution,Status Quo,6.0,Primary,False,1179,7.5,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 7 GPT.txt,Air status quo iteration 7 GPT.txt,ChatGPT,Air Pollution,Status Quo,7.0,Primary,False,1032,7.28,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 8 GPT.txt,Air status quo iteration 8 GPT.txt,ChatGPT,Air Pollution,Status Quo,8.0,Primary,False,976,6.69,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air status quo iteration 9 GPT.txt,Air status quo iteration 9 GPT.txt,ChatGPT,Air Pollution,Status Quo,9.0,Primary,False,1037,6.93,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 10 GPT.txt,Air unconstrained iteration 10 GPT.txt,ChatGPT,Air Pollution,Unconstrained,10.0,Primary,False,1005,6.82,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 2 GPT.txt,Air unconstrained iteration 2 GPT.txt,ChatGPT,Air Pollution,Unconstrained,2.0,Primary,False,1175,8.14,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 3 GPT.txt,Air unconstrained iteration 3 GPT.txt,ChatGPT,Air Pollution,Unconstrained,3.0,Primary,False,1256,8.41,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 4 GPT.txt,Air unconstrained iteration 4 GPT.txt,ChatGPT,Air Pollution,Unconstrained,4.0,Primary,False,1028,7.24,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 5 GPT.txt,Air unconstrained iteration 5 GPT.txt,ChatGPT,Air Pollution,Unconstrained,5.0,Primary,False,957,6.58,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 6 GPT.txt,Air unconstrained iteration 6 GPT.txt,ChatGPT,Air Pollution,Unconstrained,6.0,Primary,False,1039,7.13,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 7 GPT.txt,Air unconstrained iteration 7 GPT.txt,ChatGPT,Air Pollution,Unconstrained,7.0,Primary,False,1074,7.26,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 8 GPT.txt,Air unconstrained iteration 8 GPT.txt,ChatGPT,Air Pollution,Unconstrained,8.0,Primary,False,892,6.13,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstrained iteration 9 GPT.txt,Air unconstrained iteration 9 GPT.txt,ChatGPT,Air Pollution,Unconstrained,9.0,Primary,False,1020,7.02,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\Air unconstratined iteration 1 GPT.txt,Air unconstratined iteration 1 GPT.txt,ChatGPT,Air Pollution,Unconstrained,1.0,Primary,False,1035,7.05,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovatino iteration 5 GPT.txt,DPDP innovatino iteration 5 GPT.txt,ChatGPT,Data Protection,Innovation,5.0,Primary,False,1042,7.27,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 1 GPT.txt,DPDP innovation iteration 1 GPT.txt,ChatGPT,Data Protection,Innovation,1.0,Primary,False,1205,8.65,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 10 GPT.txt,DPDP innovation iteration 10 GPT.txt,ChatGPT,Data Protection,Innovation,10.0,Primary,False,1109,7.62,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 2 GPT.txt,DPDP innovation iteration 2 GPT.txt,ChatGPT,Data Protection,Innovation,2.0,Primary,False,1074,7.68,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 3 GPT.txt,DPDP innovation iteration 3 GPT.txt,ChatGPT,Data Protection,Innovation,3.0,Primary,False,952,6.82,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 4 GPT.txt,DPDP innovation iteration 4 GPT.txt,ChatGPT,Data Protection,Innovation,4.0,Primary,False,1040,7.71,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 6 GPT.txt,DPDP innovation iteration 6 GPT.txt,ChatGPT,Data Protection,Innovation,6.0,Primary,False,1081,7.69,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 7 GPT.txt,DPDP innovation iteration 7 GPT.txt,ChatGPT,Data Protection,Innovation,7.0,Primary,False,1042,7.6,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 8 GPT.txt,DPDP innovation iteration 8 GPT.txt,ChatGPT,Data Protection,Innovation,8.0,Primary,False,1103,7.59,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 9 GPT.txt,DPDP innovation iteration 9 GPT.txt,ChatGPT,Data Protection,Innovation,9.0,Primary,False,1087,7.92,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 1 GPT.txt,DPDP status quo iteration 1 GPT.txt,ChatGPT,Data Protection,Status Quo,1.0,Primary,False,1296,8.49,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 10 GPT.txt,DPDP status quo iteration 10 GPT.txt,ChatGPT,Data Protection,Status Quo,10.0,Primary,False,1063,7.1,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 2 GPT.txt,DPDP status quo iteration 2 GPT.txt,ChatGPT,Data Protection,Status Quo,2.0,Primary,False,1352,8.91,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 3 GPT.txt,DPDP status quo iteration 3 GPT.txt,ChatGPT,Data Protection,Status Quo,3.0,Primary,False,989,6.75,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 4 GPT.txt,DPDP status quo iteration 4 GPT.txt,ChatGPT,Data Protection,Status Quo,4.0,Primary,False,1107,7.47,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 5 GPT.txt,DPDP status quo iteration 5 GPT.txt,ChatGPT,Data Protection,Status Quo,5.0,Primary,False,1016,6.84,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 6 GPT.txt,DPDP status quo iteration 6 GPT.txt,ChatGPT,Data Protection,Status Quo,6.0,Primary,False,1194,7.79,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 7 GPT.txt,DPDP status quo iteration 7 GPT.txt,ChatGPT,Data Protection,Status Quo,7.0,Primary,False,1384,8.95,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 8 GPT.txt,DPDP status quo iteration 8 GPT.txt,ChatGPT,Data Protection,Status Quo,8.0,Primary,False,1188,7.87,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 9 GPT.txt,DPDP status quo iteration 9 GPT.txt,ChatGPT,Data Protection,Status Quo,9.0,Primary,False,1123,7.37,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 1 GPT.txt,DPDP unconstrained iteration 1 GPT.txt,ChatGPT,Data Protection,Unconstrained,1.0,Primary,False,965,6.45,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 10 GPT.txt,DPDP unconstrained iteration 10 GPT.txt,ChatGPT,Data Protection,Unconstrained,10.0,Primary,False,1132,7.71,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 2 GPT.txt,DPDP unconstrained iteration 2 GPT.txt,ChatGPT,Data Protection,Unconstrained,2.0,Primary,False,1238,8.4,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 3 GPT.txt,DPDP unconstrained iteration 3 GPT.txt,ChatGPT,Data Protection,Unconstrained,3.0,Primary,False,1138,7.69,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 4 GPT.txt,DPDP unconstrained iteration 4 GPT.txt,ChatGPT,Data Protection,Unconstrained,4.0,Primary,False,1082,7.37,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 5 GPT.txt,DPDP unconstrained iteration 5 GPT.txt,ChatGPT,Data Protection,Unconstrained,5.0,Primary,False,1216,8.27,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 6 GPT.txt,DPDP unconstrained iteration 6 GPT.txt,ChatGPT,Data Protection,Unconstrained,6.0,Primary,False,1170,7.93,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 7 GPT.txt,DPDP unconstrained iteration 7 GPT.txt,ChatGPT,Data Protection,Unconstrained,7.0,Primary,False,1247,8.43,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 8 GPT.txt,DPDP unconstrained iteration 8 GPT.txt,ChatGPT,Data Protection,Unconstrained,8.0,Primary,False,1284,8.84,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 9 GPT.txt,DPDP unconstrained iteration 9 GPT.txt,ChatGPT,Data Protection,Unconstrained,9.0,Primary,False,1292,8.73,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 1 GPT.txt,National innovation iteration 1 GPT.txt,ChatGPT,National Security,Innovation,1.0,Primary,False,973,7.09,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 10 GPT.txt,National innovation iteration 10 GPT.txt,ChatGPT,National Security,Innovation,10.0,Primary,False,1176,9.0,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 2 GPT.txt,National innovation iteration 2 GPT.txt,ChatGPT,National Security,Innovation,2.0,Primary,False,1047,7.45,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 3 GPT.txt,National innovation iteration 3 GPT.txt,ChatGPT,National Security,Innovation,3.0,Primary,False,983,7.1,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 4 GPT.txt,National innovation iteration 4 GPT.txt,ChatGPT,National Security,Innovation,4.0,Primary,False,1071,7.63,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 5 GPT.txt,National innovation iteration 5 GPT.txt,ChatGPT,National Security,Innovation,5.0,Primary,False,1252,8.99,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 6 GPT.txt,National innovation iteration 6 GPT.txt,ChatGPT,National Security,Innovation,6.0,Primary,False,1176,8.35,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 7 GPT.txt,National innovation iteration 7 GPT.txt,ChatGPT,National Security,Innovation,7.0,Primary,False,1057,7.7,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 8 GPT.txt,National innovation iteration 8 GPT.txt,ChatGPT,National Security,Innovation,8.0,Primary,False,1138,8.14,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 9 GPT.txt,National innovation iteration 9 GPT.txt,ChatGPT,National Security,Innovation,9.0,Primary,False,1120,8.31,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 1 GPT.txt,National status quo iteration 1 GPT.txt,ChatGPT,National Security,Status Quo,1.0,Primary,False,1174,7.56,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 10 GPT.txt,National status quo iteration 10 GPT.txt,ChatGPT,National Security,Status Quo,10.0,Primary,False,982,6.74,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 2 GPT.txt,National status quo iteration 2 GPT.txt,ChatGPT,National Security,Status Quo,2.0,Primary,False,1089,6.99,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 3 GPT.txt,National status quo iteration 3 GPT.txt,ChatGPT,National Security,Status Quo,3.0,Primary,False,1218,7.73,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 4 GPT.txt,National status quo iteration 4 GPT.txt,ChatGPT,National Security,Status Quo,4.0,Primary,False,1058,6.92,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 5 GPT.txt,National status quo iteration 5 GPT.txt,ChatGPT,National Security,Status Quo,5.0,Primary,False,943,6.39,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 6 GPT.txt,National status quo iteration 6 GPT.txt,ChatGPT,National Security,Status Quo,6.0,Primary,False,1071,7.12,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 7 GPT.txt,National status quo iteration 7 GPT.txt,ChatGPT,National Security,Status Quo,7.0,Primary,False,875,6.13,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 8 GPT.txt,National status quo iteration 8 GPT.txt,ChatGPT,National Security,Status Quo,8.0,Primary,False,1118,7.38,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 9 GPT.txt,National status quo iteration 9 GPT.txt,ChatGPT,National Security,Status Quo,9.0,Primary,False,1039,6.9,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 1 GPT.txt,National unconstrained iteration 1 GPT.txt,ChatGPT,National Security,Unconstrained,1.0,Primary,False,1074,7.44,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 10 GPT.txt,National unconstrained iteration 10 GPT.txt,ChatGPT,National Security,Unconstrained,10.0,Primary,False,905,6.33,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 2 GPT.txt,National unconstrained iteration 2 GPT.txt,ChatGPT,National Security,Unconstrained,2.0,Primary,False,1070,7.39,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 3 GPT.txt,National unconstrained iteration 3 GPT.txt,ChatGPT,National Security,Unconstrained,3.0,Primary,False,1059,7.28,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 4 GPT.txt,National unconstrained iteration 4 GPT.txt,ChatGPT,National Security,Unconstrained,4.0,Primary,False,981,6.9,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 5 GPT.txt,National unconstrained iteration 5 GPT.txt,ChatGPT,National Security,Unconstrained,5.0,Primary,False,1096,7.66,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 6 GPT.txt,National unconstrained iteration 6 GPT.txt,ChatGPT,National Security,Unconstrained,6.0,Primary,False,996,6.76,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 7 GPT.txt,National unconstrained iteration 7 GPT.txt,ChatGPT,National Security,Unconstrained,7.0,Primary,False,903,6.26,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 8 GPT.txt,National unconstrained iteration 8 GPT.txt,ChatGPT,National Security,Unconstrained,8.0,Primary,False,1028,7.28,none,ai_draft
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 9 GPT.txt,National unconstrained iteration 9 GPT.txt,ChatGPT,National Security,Unconstrained,9.0,Primary,False,1003,6.92,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 1 gemini.txt,Air innovation iteration 1 gemini.txt,Gemini,Air Pollution,Innovation,1.0,Primary,False,693,4.75,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 10 gemini.txt,Air innovation iteration 10 gemini.txt,Gemini,Air Pollution,Innovation,10.0,Primary,False,724,4.91,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 2 gemini.txt,Air innovation iteration 2 gemini.txt,Gemini,Air Pollution,Innovation,2.0,Primary,False,649,4.61,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 3 gemini.txt,Air innovation iteration 3 gemini.txt,Gemini,Air Pollution,Innovation,3.0,Primary,False,705,4.77,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 4 gemini.txt,Air innovation iteration 4 gemini.txt,Gemini,Air Pollution,Innovation,4.0,Primary,False,695,4.69,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 5 gemini.txt,Air innovation iteration 5 gemini.txt,Gemini,Air Pollution,Innovation,5.0,Primary,False,740,5.04,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 6 gemini.txt,Air innovation iteration 6 gemini.txt,Gemini,Air Pollution,Innovation,6.0,Primary,False,716,4.78,none,ai_draft
E:\Research paper\output\gemini_policy_drafts\Air innovation iteration 7 gemini.txt,Air innovation iteration 7 gemini.txt,Gemini,Air Pollution,Innovation,7.0,Primary,False,711,4.73,none,ai_draft
